,mus_prime_mm-1
644.0,30.126458086182325
645.0,30.020237162841322
646.0,29.91401623950032
647.0,29.807795316159318
648.0,29.70157439281832
649.0,29.595353469477317
650.0,29.489132546136315
651.0,29.383265750121463
652.0,29.292272301804868
653.0,29.201278853488272
654.0,29.110285405171677
655.0,29.019291956855085
656.0,28.92829850853849
657.0,28.837305060221897
658.0,28.746311611905302
659.0,28.65531816358871
660.0,28.56432471527211
661.0,28.47333126695552
662.0,28.382337818638923
663.0,28.29134437032233
664.0,28.189018847568963
665.0,28.082797924227965
666.0,27.976577000886962
667.0,27.87035607754596
668.0,27.764135154204958
669.0,27.65791423086396
670.0,27.551693307522957
671.0,27.445472384181954
672.0,27.339251460840952
673.0,27.23303053749995
674.0,27.12680961415895
675.0,27.02058869081795
676.0,26.914367767476946
677.0,26.81076911379982
678.0,26.742134055641017
679.0,26.67349899748221
680.0,26.60486393932341
681.0,26.536228881164604
682.0,26.467593823005796
683.0,26.398958764846995
684.0,26.33032370668819
685.0,26.261688648529383
686.0,26.19305359037058
687.0,26.113467072673515
688.0,26.008607956042013
689.0,25.903748839410515
690.0,25.79888972277901
691.0,25.694030606147507
692.0,25.589171489516005
693.0,25.484312372884506
694.0,25.379453256253004
695.0,25.274594139621502
696.0,25.169735022990004
697.0,25.064875906358502
698.0,24.960016789727
699.0,24.8732428662388
700.0,24.79949028181377
701.0,24.725737697388745
702.0,24.651985112963715
703.0,24.578232528538685
704.0,24.504479944113662
705.0,24.430727359688632
706.0,24.356974775263605
707.0,24.283222190838575
708.0,24.20946960641355
709.0,24.13571702198852
710.0,24.06067805527701
711.0,23.98560846041582
712.0,23.910538865554635
713.0,23.835469270693444
714.0,23.760399675832257
715.0,23.685330080971067
716.0,23.610260486109876
717.0,23.53519089124869
718.0,23.4601212963875
719.0,23.385051701526308
720.0,23.309982106665124
721.0,23.234912511803934
722.0,23.159842916942747
723.0,23.08867654359542
724.0,23.020320489738076
725.0,22.951964435880733
726.0,22.883608382023382
727.0,22.81525232816604
728.0,22.746896274308696
729.0,22.678540220451353
730.0,22.610184166594006
731.0,22.541828112736663
732.0,22.47347205887932
733.0,22.405116005021977
734.0,22.3362421710889
735.0,22.26417536002216
736.0,22.192108548955417
737.0,22.120041737888677
738.0,22.047974926821936
739.0,21.9759081157552
740.0,21.903841304688456
741.0,21.831774493621715
742.0,21.759707682554975
743.0,21.68764087148823
744.0,21.61557406042149
745.0,21.543507249354754
746.0,21.471440438288013
747.0,21.39937362722127
748.0,21.333074834955866
749.0,21.292011124946328
750.0,21.250947414936785
751.0,21.209883704927247
752.0,21.168819994917705
753.0,21.127756284908166
754.0,21.086692574898628
755.0,21.045628864889082
756.0,21.004565154879543
757.0,20.963501444870005
758.0,20.922437734860463
759.0,20.868034922613777
760.0,20.782849566742925
761.0,20.697664210872073
762.0,20.61247885500122
763.0,20.52729349913037
764.0,20.442108143259517
765.0,20.356922787388662
766.0,20.27173743151781
767.0,20.186552075646958
768.0,20.101366719776106
769.0,20.016181363905254
770.0,19.930996008034402
771.0,19.84581065216355
772.0,19.766316326410074
773.0,19.71172025742012
774.0,19.65712418843016
775.0,19.602528119440205
776.0,19.547932050450246
777.0,19.493335981460287
778.0,19.438739912470332
779.0,19.384143843480377
780.0,19.32954777449042
781.0,19.274951705500463
782.0,19.220355636510504
783.0,19.165759567520546
784.0,19.11116349853059
785.0,19.05872035844924
786.0,19.00649803158928
787.0,18.954275704729323
788.0,18.90205337786937
789.0,18.84983105100941
790.0,18.79760872414945
791.0,18.745386397289494
792.0,18.693164070429535
793.0,18.640941743569577
794.0,18.58871941670962
795.0,18.53649708984966
796.0,18.484274762989706
797.0,18.431798244165584
798.0,18.375932499152608
799.0,18.320066754139628
800.0,18.26420100912665
801.0,18.208335264113675
802.0,18.1524695191007
803.0,18.09660377408772
804.0,18.040738029074742
805.0,17.984872284061765
806.0,17.92900653904879
807.0,17.87314079403581
808.0,17.817275049022832
809.0,17.761981572161982
810.0,17.714318337329477
811.0,17.66665510249698
812.0,17.618991867664473
813.0,17.57132863283197
814.0,17.52366539799947
815.0,17.476002163166967
816.0,17.428338928334462
817.0,17.38067569350196
818.0,17.333012458669458
819.0,17.285349223836953
820.0,17.23768598900445
821.0,17.1895477053198
822.0,17.140522663777798
823.0,17.0914976222358
824.0,17.042472580693797
825.0,16.993447539151795
826.0,16.944422497609796
827.0,16.895397456067798
828.0,16.8463724145258
829.0,16.797347372983797
830.0,16.748322331441795
831.0,16.699297289899796
832.0,16.650272248357794
833.0,16.601247206815795
834.0,16.552222165273793
835.0,16.50025815483315
836.0,16.44687533182075
837.0,16.39349250880835
838.0,16.340109685795948
839.0,16.28672686278355
840.0,16.233344039771147
841.0,16.179961216758745
842.0,16.126578393746342
843.0,16.073195570733944
844.0,16.01981274772154
845.0,15.966429924709141
846.0,15.913047101696739
847.0,15.862546241720723
848.0,15.833948300821223
849.0,15.805350359921722
850.0,15.776752419022221
851.0,15.748154478122721
852.0,15.71955653722322
853.0,15.690958596323718
854.0,15.662360655424218
855.0,15.633762714524716
856.0,15.605164773625214
857.0,15.576566832725716
858.0,15.547968891826214
859.0,15.513838147912509
860.0,15.471245469977083
861.0,15.428652792041655
862.0,15.386060114106229
863.0,15.343467436170803
864.0,15.300874758235375
865.0,15.258282080299947
866.0,15.215689402364521
867.0,15.173096724429096
868.0,15.130504046493668
869.0,15.08791136855824
870.0,15.045318690622816
871.0,15.002726012687388
872.0,14.959605053475242
873.0,14.915119367631577
874.0,14.87063368178791
875.0,14.826147995944241
876.0,14.781662310100575
877.0,14.737176624256907
878.0,14.69269093841324
879.0,14.648205252569575
880.0,14.603719566725907
881.0,14.559233880882239
882.0,14.514748195038573
883.0,14.470262509194905
884.0,14.42577682335124
885.0,14.387705352675727
886.0,14.352116804000794
887.0,14.316528255325858
888.0,14.280939706650923
889.0,14.245351157975989
890.0,14.209762609301054
891.0,14.174174060626118
892.0,14.138585511951186
893.0,14.10299696327625
894.0,14.067408414601317
895.0,14.031819865926382
896.0,13.996231317251446
897.0,13.960889299838982
898.0,13.92681515749064
899.0,13.892741015142297
